variant,segment,symbol,timeframe,profile_name,trades,win_rate,avg_r,profit_factor,max_drawdown_r,total_net_pnl,signals,status
base,segment_2025_h2,NZD_USD,4h,nzd_usd_4h,25,0.4,-0.008344000000000004,0.9752253589710093,-7.165900000000001,0.003221999999999999,25,ok
base,segment_2025_h2,EUR_GBP,4h,eur_gbp_4h,11,0.36363636363636365,-0.16419090909090908,0.5729452378700464,-2.8339,-0.002182,11,ok
base,segment_2025_h2,EUR_JPY,4h,eur_jpy_4h,17,0.35294117647058826,-0.013723529411764697,0.9587481212978515,-2.4800999999999997,-0.009650999999999993,17,ok
base,segment_2025_h2,GBP_JPY,4h,gbp_jpy_4h,22,0.2727272727272727,-0.12732727272727276,0.6260179968492164,-5.2206,-2.4347269999999996,22,ok
base,segment_2025_h2,BTC_USD,4h,,0,0.0,0.0,0.0,0.0,0.0,0,ok
base,segment_2025_h2,ETH_USD,4h,eth_usd_4h,2,0.0,-0.5334,0.0,-1.0,-112.17885100000001,2,ok
base,segment_2025_h2,LTC_USD,4h,ltc_usd_4h,13,0.0,-0.6836153846153846,0.0,-7.8870000000000005,-30.251302,13,ok
base,segment_2025_h2,BCH_USD,4h,bch_usd_4h,9,0.3333333333333333,0.7587,3.087590571402367,-1.6483999999999996,26.903456,9,ok
packet_a,segment_2023_h1,WTICO_USD,4h,wtico_usd_4h,20,0.5,0.977805,4.119343467372753,-3.605599999999999,13.963204999999999,20,ok
packet_a,segment_2023_h1,BCO_USD,4h,bco_usd_4h,19,0.47368421052631576,0.6340526315789474,2.8498556599717464,-3.6610999999999994,8.227689000000002,19,ok
packet_a,segment_2023_h1,XAG_USD,4h,xag_usd_4h,13,0.23076923076923078,-0.11173846153846156,0.6870610539015037,-3.8029,-0.758573,13,ok
packet_a,segment_2023_h1,XAU_USD,4h,xau_usd_4h,14,0.2857142857142857,0.13986428571428575,1.3546575863505461,-2.8362000000000003,10.267883000000001,14,ok
packet_a,segment_2023_h1,UK100_GBP,4h,uk100_gbp_4h,4,0.5,1.9023999999999999,9.20265171930581,-0.9277000000000006,378.2,4,ok
packet_a,segment_2023_h1,NAS100_USD,4h,,0,0.0,0.0,0.0,0.0,0.0,0,ok
packet_a,segment_2023_h1,US30_USD,4h,,0,0.0,0.0,0.0,0.0,0.0,0,ok
packet_a,segment_2023_h1,SPX500_USD,4h,spx500_usd_4h,5,0.2,-0.48014,0.23690400508582327,-2.146,-103.25839599999999,5,ok
packet_a,segment_2023_h1,FR40_EUR,4h,fr40_eur_4h,1,0.0,-1.0,0.0,0.0,-51.209503,1,ok
packet_a,segment_2023_h1,JP225_USD,4h,,0,0.0,0.0,0.0,0.0,0.0,0,ok
packet_a,segment_2023_h1,ESPIX_EUR,4h,espix_eur_4h,1,0.0,-1.0,0.0,0.0,-67.796343,1,ok
