setup_id,symbol,asset_class,timeframe,signal_type,timestamp,setup_bar_time,scenario,entry,stop_loss,target_1,status,outcome,outcome_timestamp,exit_price,bars_checked,realized_r
cwt-usd_jpy-5m-scenario1-long-202604070100,USD_JPY,forex,5m,long,2026-04-07T01:00:00+00:00,2026-04-07T00:55:00+00:00,scenario1,159.83,159.685508,159.974492,closed,sl_hit,2026-04-07T08:00:00+00:00,159.685508,84,-1.0
cwt-usd_jpy-5m-scenario1-long-202604070140,USD_JPY,forex,5m,long,2026-04-07T01:40:00+00:00,2026-04-07T01:35:00+00:00,scenario1,159.858,159.721275,159.994725,closed,sl_hit,2026-04-07T08:00:00+00:00,159.721275,76,-1.0
cwt-usd_jpy-5m-scenario1-long-202604070145,USD_JPY,forex,5m,long,2026-04-07T01:45:00+00:00,2026-04-07T01:40:00+00:00,scenario1,159.876,159.729697,160.022303,closed,sl_hit,2026-04-07T05:05:00+00:00,159.729697,40,-1.0
cwt-gbp_jpy-15m-scenario2-long-202604070400,GBP_JPY,forex_cross,15m,long,2026-04-07T04:00:00+00:00,2026-04-07T03:45:00+00:00,scenario2,211.383,211.264814,211.501186,closed,sl_hit,2026-04-07T05:45:00+00:00,211.264814,7,-1.0
cwt-uk100_gbp-5m-scenario2-long-202604070515,UK100_GBP,index,5m,long,2026-04-07T05:15:00+00:00,2026-04-07T05:10:00+00:00,scenario2,10468.0,10455.480357,10480.519643,closed,sl_hit,2026-04-07T05:30:00+00:00,10455.480357,3,-1.0
cwt-usd_jpy-5m-scenario2-long-202604070545,USD_JPY,forex,5m,long,2026-04-07T05:45:00+00:00,2026-04-07T05:40:00+00:00,scenario2,159.808,159.572743,160.043257,closed,sl_hit,2026-04-07T08:35:00+00:00,159.572743,34,-1.0
cwt-uk100_gbp-5m-scenario2-long-202604070615,UK100_GBP,index,5m,long,2026-04-07T06:15:00+00:00,2026-04-07T06:10:00+00:00,scenario2,10466.0,10455.378571,10476.621429,closed,sl_hit,2026-04-07T06:30:00+00:00,10455.378571,3,-1.0
cwt-usd_jpy-5m-scenario2-long-202604070640,USD_JPY,forex,5m,long,2026-04-07T06:40:00+00:00,2026-04-07T06:35:00+00:00,scenario2,159.802,159.724457,159.879543,closed,tp_hit,2026-04-07T07:05:00+00:00,159.879543,5,1.0
cwt-uk100_gbp-5m-scenario2-long-202604070810,UK100_GBP,index,5m,long,2026-04-07T08:10:00+00:00,2026-04-07T08:05:00+00:00,scenario2,10460.0,10454.833571,10465.166429,closed,tp_hit,2026-04-07T08:15:00+00:00,10465.166429,1,1.0
cwt-gbp_jpy-15m-scenario1-long-202604070815,GBP_JPY,forex_cross,15m,long,2026-04-07T08:15:00+00:00,2026-04-07T08:00:00+00:00,scenario1,211.64,211.353338,211.926662,closed,tp_hit,2026-04-07T14:30:00+00:00,211.926662,25,1.0
